Latitude,Longitude,Sample Date,aet,pdsi,vap,ws
-28.760833,17.730278,02-01-2011,7.900000095367432,-1.159999966621399,1.3840000629425049,2.93999981880188
-26.861111,28.884722,03-01-2011,134.3000030517578,1.5399999618530273,1.633000135421753,1.9299999475479126
-26.45,28.085833,03-01-2011,141.5,-0.6200000047683716,1.6380001306533813,2.1499998569488525
-27.671111,27.236944,03-01-2011,152.40000915527344,3.0799999237060547,1.5870001316070557,2.2200000286102295
-27.356667,27.286389,03-01-2011,151.90000915527344,2.690000057220459,1.6170001029968262,2.2699999809265137
-27.01011111,26.69808333,04-01-2011,155.6999969482422,2.180000066757202,1.652000069618225,2.299999952316284
-25.127778,27.628889,04-01-2011,102.0999984741211,-1.2999999523162842,1.9640001058578491,2.2100000381469727
-25.20639,27.558,04-01-2011,104.5999984741211,-1.2799999713897705,1.9580000638961792,2.180000066757202
-24.69514,27.40906,04-01-2011,102.9000015258789,-1.100000023841858,2.0,2.1399998664855957
-26.98472222,26.63227778,04-01-2011,155.1999969482422,2.109999895095825,1.658000111579895,2.2300000190734863
-28.141944,26.417778,04-01-2011,157.0,3.109999895095825,1.5250000953674316,2.2100000381469727
-27.398611,26.614722,04-01-2011,160.6999969482422,2.4800000190734863,1.6190000772476196,2.3499999046325684
-33.501667,21.624167,04-01-2011,14.90000057220459,-1.8399999141693115,1.5220000743865967,3.3399999141693115
-32.502778,19.535833,04-01-2011,3.799999952316284,-2.6499998569488525,1.4170000553131104,3.3399999141693115
-25.45963889,28.26430556,04-01-2011,116.4000015258789,-1.309999942779541,1.8680000305175781,2.109999895095825
-27.495556,26.074722,04-01-2011,154.6999969482422,2.379999876022339,1.5880000591278076,2.4800000190734863
-26.648056,27.089444,05-01-2011,148.1999969482422,1.6799999475479126,1.6640000343322754,2.2200000286102295
-26.970278,27.211111,05-01-2011,149.3000030517578,2.180000066757202,1.6360000371932983,2.169999837875366
-27.38972222,26.46388889,05-01-2011,161.6999969482422,2.429999828338623,1.6190000772476196,2.3999998569488525
-27.044444,27.005,05-01-2011,151.6999969482422,2.2699999809265137,1.6480001211166382,2.2100000381469727
-30.830556,26.921389,06-01-2011,131.10000610351562,2.700000047683716,1.3870000839233398,2.379999876022339
-27.00222,28.76528,06-01-2011,134.6999969482422,1.7899999618530273,1.633000135421753,1.9199999570846558
-27.02314,28.59389,06-01-2011,136.90000915527344,1.8700000047683716,1.6250001192092896,1.959999918937683
-30.679722,26.7125,06-01-2011,128.60000610351562,2.7100000381469727,1.3870000839233398,2.2699999809265137
-30.160091,27.40124,06-01-2011,141.10000610351562,3.509999990463257,1.4210001230239868,1.96999990940094
-32.595833,19.009444,06-01-2011,4.400000095367432,-3.0799999237060547,1.5850000381469727,3.809999942779541
