Latitude,Longitude,Sample Date,pr,tmax,tmin,ro
-28.760833,17.730278,02-01-2011,8.3,35.7599983215332,21.029998779296875,0.4
-26.861111,28.884722,03-01-2011,175.0,25.40999984741211,14.09999942779541,8.8
-26.45,28.085833,03-01-2011,156.10000000000002,26.06999969482422,15.25,7.800000000000001
-27.671111,27.236944,03-01-2011,194.70000000000002,27.599998474121094,15.960000038146973,16.1
-27.356667,27.286389,03-01-2011,180.4,27.209999084472656,16.149999618530273,9.0
-27.01011111,26.69808333,04-01-2011,168.5,27.849998474121094,16.75,8.4
-25.127778,27.628889,04-01-2011,107.4,30.329999923706055,18.770000457763672,5.4
-25.20639,27.558,04-01-2011,110.10000000000001,30.029998779296875,18.600000381469727,5.5
-24.69514,27.40906,04-01-2011,108.2,30.51999855041504,19.84000015258789,5.4
-26.98472222,26.63227778,04-01-2011,170.3,28.010000228881836,17.0,8.5
-28.141944,26.417778,04-01-2011,187.0,28.170000076293945,16.53999900817871,9.3
-27.398611,26.614722,04-01-2011,173.20000000000002,28.35999870300293,17.03999900817871,8.700000000000001
-33.501667,21.624167,04-01-2011,15.700000000000001,29.510000228881836,13.779999732971191,0.8
-32.502778,19.535833,04-01-2011,4.0,34.0099983215332,16.35999870300293,0.2
-25.45963889,28.26430556,04-01-2011,122.4,28.779998779296875,17.5,6.1000000000000005
-27.495556,26.074722,04-01-2011,162.8,28.59000015258789,16.600000381469727,8.1
-26.648056,27.089444,05-01-2011,156.60000000000002,26.829999923706055,15.9399995803833,7.800000000000001
-26.970278,27.211111,05-01-2011,169.5,27.0,16.190000534057617,8.5
-27.38972222,26.46388889,05-01-2011,170.20000000000002,28.479999542236328,17.139999389648438,8.5
-27.044444,27.005,05-01-2011,172.0,27.399999618530273,16.510000228881836,8.6
-30.830556,26.921389,06-01-2011,138.0,28.329999923706055,14.079999923706055,6.9
-27.00222,28.76528,06-01-2011,179.4,25.6299991607666,14.279999732971191,9.0
-27.02314,28.59389,06-01-2011,179.20000000000002,25.959999084472656,14.609999656677246,9.0
-30.679722,26.7125,06-01-2011,135.3,29.420000076293945,14.739999771118164,6.800000000000001
-30.160091,27.40124,06-01-2011,207.0,27.469999313354492,14.899999618530273,36.9
-32.595833,19.009444,06-01-2011,4.5,33.849998474121094,16.579999923706055,0.2
-25.99136,27.84208,10-01-2011,160.3,26.599998474121094,16.399999618530273,8.0
-26.73806,27.59194,10-01-2011,166.60000000000002,26.349998474121094,15.719999313354492,8.3
-26.45,28.085833,10-01-2011,156.10000000000002,26.06999969482422,15.25,7.800000000000001
-30.86013889,29.07125,10-01-2011,211.9,25.899999618530273,16.399999618530273,86.10000000000001
-27.356667,27.286389,10-01-2011,180.4,27.209999084472656,16.149999618530273,9.0
-27.01011111,26.69808333,11-01-2011,168.5,27.849998474121094,16.75,8.4
-25.73411,27.21422,11-01-2011,150.70000000000002,27.579999923706055,16.19999885559082,7.5
-26.98472222,26.63227778,11-01-2011,170.3,28.010000228881836,17.0,8.5
-27.398611,26.614722,11-01-2011,173.20000000000002,28.35999870300293,17.03999900817871,8.700000000000001
-27.671111,27.236944,11-01-2011,194.70000000000002,27.599998474121094,15.960000038146973,16.1
-29.160278,26.573333,11-01-2011,195.5,28.75,15.639999389648438,18.3
-34.250556,20.9925,11-01-2011,13.700000000000001,29.31999969482422,17.079999923706055,0.7000000000000001
-25.45963889,28.26430556,11-01-2011,122.4,28.779998779296875,17.5,6.1000000000000005
-25.81048333,27.90955222,12-01-2011,149.4,27.599998474121094,17.34000015258789,7.5
-27.273889,28.49,12-01-2011,192.70000000000002,25.869998931884766,14.649999618530273,18.0
-27.4275,28.525833,12-01-2011,202.5,25.76999855041504,14.399999618530273,34.2
-28.883333,27.89,12-01-2011,268.2,25.829999923706055,14.519999504089355,108.7
-27.00222,28.76528,13-01-2011,179.4,25.6299991607666,14.279999732971191,9.0
-27.02314,28.59389,13-01-2011,179.20000000000002,25.959999084472656,14.609999656677246,9.0
-30.534167,24.961944,13-01-2011,94.7,30.599998474121094,15.960000038146973,4.7
-28.460833,21.248889,13-01-2011,74.9,35.14999771118164,19.850000381469727,3.7
-29.658056,25.973333,14-01-2011,146.9,28.889999389648438,15.40999984741211,7.300000000000001
-28.760833,17.730278,16-01-2011,8.3,35.7599983215332,21.029998779296875,0.4
-25.513889,31.224444,17-01-2011,144.4,27.809999465942383,18.799999237060547,7.2
-26.861111,28.884722,17-01-2011,175.0,25.40999984741211,14.09999942779541,8.8
-31.554722,29.245556,17-01-2011,188.20000000000002,24.93000030517578,18.020000457763672,73.5
-28.058889,30.373611,17-01-2011,295.0,26.0,15.109999656677246,117.60000000000001
-25.127778,27.628889,18-01-2011,107.4,30.329999923706055,18.770000457763672,5.4
-25.20639,27.558,18-01-2011,110.10000000000001,30.029998779296875,18.600000381469727,5.5
-24.69514,27.40906,18-01-2011,108.2,30.51999855041504,19.84000015258789,5.4
-25.681111,31.783333,18-01-2011,123.7,30.06999969482422,20.270000457763672,6.2
-27.802778,28.768333,18-01-2011,222.8,25.239999771118164,13.729999542236328,64.2
-27.398611,26.614722,18-01-2011,173.20000000000002,28.35999870300293,17.03999900817871,8.700000000000001
-31.104278,29.399722,18-01-2011,200.4,25.68000030517578,17.84000015258789,78.9
-31.396,29.2651,18-01-2011,187.3,26.18000030517578,19.139999389648438,64.5
-33.38056,19.30167,18-01-2011,9.3,29.719999313354492,13.929999351501465,0.5
-33.31388889,19.07472222,18-01-2011,7.5,32.099998474121094,16.520000457763672,0.4
-27.495556,26.074722,18-01-2011,162.8,28.59000015258789,16.600000381469727,8.1
-24.39619444,27.08983333,19-01-2011,99.4,30.90999984741211,19.989999771118164,5.0
-26.970278,27.211111,19-01-2011,169.5,27.0,16.190000534057617,8.5
-26.880278,26.965,19-01-2011,165.5,27.329999923706055,16.399999618530273,8.3
